"Account Number","Meter Number","Day","Daily Total","Estimated Read","Unit of Measurement"
"9100 192 6198 1","1707110","10/04/2025","0.3120","Yes","CCF"
"9100 192 6198 1","1707110","10/05/2025","0.3000","No","CCF"
"9100 192 6198 1","1707110","10/06/2025","0.5467","Yes","CCF"
"9100 192 6198 1","1707110","10/07/2025","0.5467","Yes","CCF"
"9100 192 6198 1","1707110","10/08/2025","0.5467","Yes","CCF"
"9100 192 6198 1","1707110","10/09/2025","1.1200","Yes","CCF"
"9100 192 6198 1","1707110","10/10/2025","1.1200","Yes","CCF"
"9100 192 6198 1","1707110","10/11/2025","1.1200","Yes","CCF"
"9100 192 6198 1","1707110","10/12/2025","0.9800","No","CCF"
"9100 192 6198 1","1707110","10/13/2025","0.7600","No","CCF"
"9100 192 6198 1","1707110","10/14/2025","1.0400","No","CCF"
"9100 192 6198 1","1707110","10/15/2025","1.0500","Yes","CCF"
"9100 192 6198 1","1707110","10/16/2025","1.0500","Yes","CCF"
"9100 192 6198 1","1707110","10/17/2025","1.5400","No","CCF"
"9100 192 6198 1","1707110","10/18/2025","0.7800","No","CCF"
"9100 192 6198 1","1707110","10/19/2025","0.8700","Yes","CCF"
"9100 192 6198 1","1707110","10/20/2025","0.8700","Yes","CCF"
"9100 192 6198 1","1707110","10/21/2025","1.6500","Yes","CCF"
"9100 192 6198 1","1707110","10/22/2025","1.6500","Yes","CCF"
"9100 192 6198 1","1707110","10/23/2025","2.0600","Yes","CCF"
"9100 192 6198 1","1707110","10/24/2025","2.0600","Yes","CCF"
"9100 192 6198 1","1707110","10/25/2025","2.0600","Yes","CCF"
"9100 192 6198 1","1707110","10/26/2025","2.0800","No","CCF"
"9100 192 6198 1","1707110","10/27/2025","1.8400","No","CCF"
"9100 192 6198 1","1707110","10/28/2025","1.6600","No","CCF"
"9100 192 6198 1","1707110","10/29/2025","1.5800","No","CCF"
"9100 192 6198 1","1707110","10/30/2025","1.9700","Yes","CCF"
"9100 192 6198 1","1707110","10/31/2025","1.9700","Yes","CCF"
"9100 192 6198 1","1707110","11/01/2025","2.0100","Yes","CCF"
"9100 192 6198 1","1707110","11/02/2025","2.0100","Yes","CCF"
"9100 192 6198 1","1707110","11/03/2025","1.8500","Yes","CCF"
"9100 192 6198 1","1707110","11/04/2025","1.8500","Yes","CCF"
"9100 192 6198 1","1707110","11/05/2025","1.8400","No","CCF"
"9100 192 6198 1","1707110","11/06/2025","2.1000","Yes","CCF"
"9100 192 6198 1","1707110","11/07/2025","2.1000","Yes","CCF"
"9100 192 6198 1","1707110","11/08/2025","2.4600","No","CCF"
"9100 192 6198 1","1707110","11/09/2025","3.0400","No","CCF"
"9100 192 6198 1","1707110","11/10/2025","3.1667","Yes","CCF"
"9100 192 6198 1","1707110","11/11/2025","3.1667","Yes","CCF"
"9100 192 6198 1","1707110","11/12/2025","3.1667","Yes","CCF"
"9100 192 6198 1","1707110","11/13/2025","1.9450","Yes","CCF"
"9100 192 6198 1","1707110","11/14/2025","1.9450","Yes","CCF"
"9100 192 6198 1","1707110","11/15/2025","1.9450","Yes","CCF"
"9100 192 6198 1","1707110","11/16/2025","1.9450","Yes","CCF"
"9100 192 6198 1","1707110","11/17/2025","2.5600","No","CCF"
"9100 192 6198 1","1707110","11/18/2025","3.4000","No","CCF"
"9100 192 6198 1","1707110","11/19/2025","2.1200","No","CCF"
"9100 192 6198 1","1707110","11/20/2025","2.2933","Yes","CCF"
"9100 192 6198 1","1707110","11/21/2025","2.2933","Yes","CCF"
"9100 192 6198 1","1707110","11/22/2025","2.2933","Yes","CCF"
"9100 192 6198 1","1707110","11/23/2025","1.9000","No","CCF"
"9100 192 6198 1","1707110","11/24/2025","2.9400","No","CCF"
"9100 192 6198 1","1707110","11/25/2025","2.3000","No","CCF"
"9100 192 6198 1","1707110","11/26/2025","2.7200","No","CCF"
"9100 192 6198 1","1707110","11/27/2025","3.6267","Yes","CCF"
"9100 192 6198 1","1707110","11/28/2025","3.6267","Yes","CCF"
"9100 192 6198 1","1707110","11/29/2025","3.6267","Yes","CCF"
"9100 192 6198 1","1707110","11/30/2025","3.6400","No","CCF"
"9100 192 6198 1","1707110","12/01/2025","4.2000","No","CCF"
"9100 192 6198 1","1707110","12/02/2025","3.9500","Yes","CCF"
"9100 192 6198 1","1707110","12/03/2025","3.9500","Yes","CCF"
"9100 192 6198 1","1707110","12/04/2025","4.2700","Yes","CCF"
"9100 192 6198 1","1707110","12/05/2025","4.2700","Yes","CCF"
"9100 192 6198 1","1707110","12/06/2025","3.9500","Yes","CCF"
"9100 192 6198 1","1707110","12/07/2025","3.9500","Yes","CCF"
"9100 192 6198 1","1707110","12/08/2025","4.8200","No","CCF"
"9100 192 6198 1","1707110","12/09/2025","5.0200","No","CCF"
"9100 192 6198 1","1707110","12/10/2025","3.9400","No","CCF"
"9100 192 6198 1","1707110","12/11/2025","4.2600","Yes","CCF"
"9100 192 6198 1","1707110","12/12/2025","4.2600","Yes","CCF"
"9100 192 6198 1","1707110","12/13/2025","5.0333","Yes","CCF"
"9100 192 6198 1","1707110","12/14/2025","5.0333","Yes","CCF"
"9100 192 6198 1","1707110","12/15/2025","5.0333","Yes","CCF"
"9100 192 6198 1","1707110","12/16/2025","3.9000","No","CCF"
"9100 192 6198 1","1707110","12/17/2025","2.8400","No","CCF"
"9100 192 6198 1","1707110","12/18/2025","2.8800","No","CCF"
"9100 192 6198 1","1707110","12/19/2025","4.2000","No","CCF"
"9100 192 6198 1","1707110","12/20/2025","3.9600","No","CCF"
"9100 192 6198 1","1707110","12/21/2025","3.6400","No","CCF"
"9100 192 6198 1","1707110","12/22/2025","4.2800","No","CCF"
"9100 192 6198 1","1707110","12/23/2025","2.1000","No","CCF"
"9100 192 6198 1","1707110","12/24/2025","3.2600","Yes","CCF"
"9100 192 6198 1","1707110","12/25/2025","3.2600","Yes","CCF"
"9100 192 6198 1","1707110","12/26/2025","3.2600","Yes","CCF"
"9100 192 6198 1","1707110","12/27/2025","3.6950","Yes","CCF"
"9100 192 6198 1","1707110","12/28/2025","3.6950","Yes","CCF"
"9100 192 6198 1","1707110","12/29/2025","3.6950","Yes","CCF"
"9100 192 6198 1","1707110","12/30/2025","3.6950","Yes","CCF"
"9100 192 6198 1","1707110","12/31/2025","4.5600","No","CCF"
"9100 192 6198 1","1707110","01/01/2026","4.2600","Yes","CCF"
"9100 192 6198 1","1707110","01/02/2026","4.2600","Yes","CCF"
"9100 192 6198 1","1707110","01/03/2026","4.2600","Yes","CCF"
"9100 192 6198 1","1707110","01/04/2026","4.2600","Yes","CCF"
"9100 192 6198 1","1707110","01/05/2026","4.2600","Yes","CCF"
"9100 192 6198 1","1707110","01/06/2026","3.4300","Yes","CCF"
"9100 192 6198 1","1707110","01/07/2026","3.4300","Yes","CCF"
"9100 192 6198 1","1707110","01/08/2026","2.8850","Yes","CCF"
"9100 192 6198 1","1707110","01/09/2026","2.8850","Yes","CCF"
"9100 192 6198 1","1707110","01/10/2026","2.8850","Yes","CCF"
"9100 192 6198 1","1707110","01/11/2026","2.8850","Yes","CCF"
"9100 192 6198 1","1707110","01/12/2026","3.7150","Yes","CCF"
"9100 192 6198 1","1707110","01/13/2026","3.7150","Yes","CCF"
"9100 192 6198 1","1707110","01/14/2026","3.7150","Yes","CCF"
"9100 192 6198 1","1707110","01/15/2026","3.7150","Yes","CCF"
"9100 192 6198 1","1707110","01/16/2026","4.8400","No","CCF"
"9100 192 6198 1","1707110","01/17/2026","4.6200","Yes","CCF"
"9100 192 6198 1","1707110","01/18/2026","4.6200","Yes","CCF"
"9100 192 6198 1","1707110","01/19/2026","4.6200","Yes","CCF"
"9100 192 6198 1","1707110","01/20/2026","5.0800","Yes","CCF"
"9100 192 6198 1","1707110","01/21/2026","5.0800","Yes","CCF"
"9100 192 6198 1","1707110","01/22/2026","5.0800","Yes","CCF"
"9100 192 6198 1","1707110","01/23/2026","5.6600","No","CCF"
"9100 192 6198 1","1707110","01/24/2026","7.0600","No","CCF"
"9100 192 6198 1","1707110","01/25/2026","6.0100","Yes","CCF"
"9100 192 6198 1","1707110","01/26/2026","6.0100","Yes","CCF"
"9100 192 6198 1","1707110","01/27/2026","6.1333","Yes","CCF"
"9100 192 6198 1","1707110","01/28/2026","6.1333","Yes","CCF"
"9100 192 6198 1","1707110","01/29/2026","6.1333","Yes","CCF"
"9100 192 6198 1","1707110","01/30/2026","5.2800","No","CCF"
"9100 192 6198 1","1707110","01/31/2026","5.4000","Yes","CCF"
"9100 192 6198 1","1707110","02/01/2026","5.4000","Yes","CCF"
"9100 192 6198 1","1707110","02/02/2026","4.7600","Yes","CCF"
"9100 192 6198 1","1707110","02/03/2026","4.7600","Yes","CCF"
"9100 192 6198 1","1707110","02/04/2026","4.7600","Yes","CCF"
"9100 192 6198 1","1707110","02/05/2026","5.3000","No","CCF"
"9100 192 6198 1","1707110","02/06/2026","4.7000","Yes","CCF"
"9100 192 6198 1","1707110","02/07/2026","4.7000","Yes","CCF"
"9100 192 6198 1","1707110","02/08/2026","4.7600","No","CCF"
"9100 192 6198 1","1707110","02/09/2026","5.1000","No","CCF"
"9100 192 6198 1","1707110","02/10/2026","0.0000","No","CCF"
"9100 192 6198 1","1707110","02/11/2026","7.1600","No","CCF"
"9100 192 6198 1","1707110","02/12/2026","3.2800","No","CCF"
"9100 192 6198 1","1707110","02/13/2026","3.4400","No","CCF"
"9100 192 6198 1","1707110","02/14/2026","2.5400","No","CCF"
"9100 192 6198 1","1707110","02/15/2026","2.6500","Yes","CCF"
"9100 192 6198 1","1707110","02/16/2026","2.6500","Yes","CCF"
"9100 192 6198 1","1707110","02/17/2026","2.4000","No","CCF"
"9100 192 6198 1","1707110","02/18/2026","2.3400","No","CCF"
"9100 192 6198 1","1707110","02/19/2026","3.1600","No","CCF"
"9100 192 6198 1","1707110","02/20/2026","3.7640","Yes","CCF"
"9100 192 6198 1","1707110","02/21/2026","3.7640","Yes","CCF"
"9100 192 6198 1","1707110","02/22/2026","3.7640","Yes","CCF"
"9100 192 6198 1","1707110","02/23/2026","3.7640","Yes","CCF"
"9100 192 6198 1","1707110","02/24/2026","3.7640","Yes","CCF"
"9100 192 6198 1","1707110","02/25/2026","3.3000","No","CCF"
"9100 192 6198 1","1707110","02/26/2026","4.1400","No","CCF"
"9100 192 6198 1","1707110","02/27/2026","2.4400","No","CCF"
"9100 192 6198 1","1707110","02/28/2026","2.3600","No","CCF"
"9100 192 6198 1","1707110","03/01/2026","3.0500","Yes","CCF"
"9100 192 6198 1","1707110","03/02/2026","3.0500","Yes","CCF"
"9100 192 6198 1","1707110","03/03/2026","4.1000","No","CCF"
"9100 192 6198 1","1707110","03/04/2026","2.8500","Yes","CCF"
"9100 192 6198 1","1707110","03/05/2026","2.8500","Yes","CCF"
"9100 192 6198 1","1707110","03/06/2026","2.6800","No","CCF"
"9100 192 6198 1","1707110","03/07/2026","1.0600","No","CCF"
"9100 192 6198 1","1707110","03/08/2026","1.3000","No","CCF"
"9100 192 6198 1","1707110","03/09/2026","1.1133","Yes","CCF"
"9100 192 6198 1","1707110","03/10/2026","1.1133","Yes","CCF"
"9100 192 6198 1","1707110","03/11/2026","1.1133","Yes","CCF"
"9100 192 6198 1","1707110","03/12/2026","3.0400","Yes","CCF"
"9100 192 6198 1","1707110","03/13/2026","3.0400","Yes","CCF"
"9100 192 6198 1","1707110","03/14/2026","2.9600","No","CCF"
"9100 192 6198 1","1707110","03/15/2026","3.8550","Yes","CCF"
"9100 192 6198 1","1707110","03/16/2026","3.8550","Yes","CCF"
"9100 192 6198 1","1707110","03/17/2026","3.8550","Yes","CCF"
"9100 192 6198 1","1707110","03/18/2026","3.8550","Yes","CCF"
"9100 192 6198 1","1707110","03/19/2026","2.3800","No","CCF"
"9100 192 6198 1","1707110","03/20/2026","1.8200","No","CCF"
"9100 192 6198 1","1707110","03/21/2026","2.2700","Yes","CCF"
"9100 192 6198 1","1707110","03/22/2026","2.2700","Yes","CCF"
"9100 192 6198 1","1707110","03/23/2026","3.2400","No","CCF"
"9100 192 6198 1","1707110","03/24/2026","3.1200","No","CCF"
"9100 192 6198 1","1707110","03/25/2026","2.2200","No","CCF"
"9100 192 6198 1","1707110","03/26/2026","1.5600","No","CCF"
"9100 192 6198 1","1707110","03/27/2026","2.0200","No","CCF"
"9100 192 6198 1","1707110","03/28/2026","2.2800","No","CCF"
"9100 192 6198 1","1707110","03/29/2026","2.1000","No","CCF"
"9100 192 6198 1","1707110","03/30/2026","1.3867","Yes","CCF"
"9100 192 6198 1","1707110","03/31/2026","1.3867","Yes","CCF"
"9100 192 6198 1","1707110","04/01/2026","1.3867","Yes","CCF"
"9100 192 6198 1","1707110","04/02/2026","1.8500","Yes","CCF"
"9100 192 6198 1","1707110","04/03/2026","1.8500","Yes","CCF"
"9100 192 6198 1","1707110","04/04/2026","1.8500","Yes","CCF"
"9100 192 6198 1","1707110","04/05/2026","1.8500","Yes","CCF"
"9100 192 6198 1","1707110","04/06/2026","2.2200","No","CCF"
"9100 192 6198 1","1707110","04/07/2026","2.2533","Yes","CCF"
"9100 192 6198 1","1707110","04/08/2026","2.2533","Yes","CCF"
"9100 192 6198 1","1707110","04/09/2026","2.2533","Yes","CCF"
"9100 192 6198 1","1707110","04/10/2026","1.6400","No","CCF"
"9100 192 6198 1","1707110","04/11/2026","1.7600","No","CCF"
"9100 192 6198 1","1707110","04/12/2026","1.2400","No","CCF"
"9100 192 6198 1","1707110","04/13/2026","0.4000","No","CCF"
"9100 192 6198 1","1707110","04/14/2026","0.5600","Yes","CCF"
"9100 192 6198 1","1707110","04/15/2026","0.5600","Yes","CCF"
"9100 192 6198 1","1707110","04/16/2026","0.5600","No","CCF"
"9100 192 6198 1","1707110","04/17/2026","0.9800","No","CCF"
"9100 192 6198 1","1707110","04/18/2026","0.9200","No","CCF"
"9100 192 6198 1","1707110","04/19/2026","2.0800","Yes","CCF"
"9100 192 6198 1","1707110","04/20/2026","2.0800","Yes","CCF"
"9100 192 6198 1","1707110","04/21/2026","0.9100","Yes","CCF"
"9100 192 6198 1","1707110","04/22/2026","0.9100","Yes","CCF"
"9100 192 6198 1","1707110","04/23/2026","0.9100","Yes","CCF"
"9100 192 6198 1","1707110","04/24/2026","0.9100","Yes","CCF"
"9100 192 6198 1","1707110","04/25/2026","0.7200","No","CCF"
"9100 192 6198 1","1707110","04/26/2026","1.1200","No","CCF"
"9100 192 6198 1","1707110","04/27/2026","1.2600","No","CCF"
"9100 192 6198 1","1707110","04/28/2026","0.6400","No","CCF"
"9100 192 6198 1","1707110","04/29/2026","1.5600","No","CCF"
"9100 192 6198 1","1707110","04/30/2026","1.7000","No","CCF"
"9100 192 6198 1","1707110","05/01/2026","2.0600","Yes","CCF"
"9100 192 6198 1","1707110","05/02/2026","2.0600","Yes","CCF"
"9100 192 6198 1","1707110","05/03/2026","0.0000","No","CCF"
"9100 192 6198 1","1707110","05/04/2026","3.0200","No","CCF"
"9100 192 6198 1","1707110","05/05/2026","0.6800","No","CCF"
"9100 192 6198 1","1707110","05/06/2026","1.4800","No","CCF"
"9100 192 6198 1","1707110","05/07/2026","1.6100","Yes","CCF"
"9100 192 6198 1","1707110","05/08/2026","1.6100","Yes","CCF"
"9100 192 6198 1","1707110","05/09/2026","1.1500","Yes","CCF"
"9100 192 6198 1","1707110","05/10/2026","1.1500","Yes","CCF"
"9100 192 6198 1","1707110","05/11/2026","1.4400","No","CCF"
"9100 192 6198 1","1707110","05/12/2026","1.8600","No","CCF"
"9100 192 6198 1","1707110","05/13/2026","1.7200","No","CCF"
"9100 192 6198 1","1707110","05/14/2026","1.4000","Yes","CCF"
"9100 192 6198 1","1707110","05/15/2026","1.4000","Yes","CCF"
"9100 192 6198 1","1707110","05/16/2026","0.8400","No","CCF"
"9100 192 6198 1","1707110","05/17/2026","0.5200","No","CCF"
"9100 192 6198 1","1707110","05/18/2026","0.3600","No","CCF"
"9100 192 6198 1","1707110","05/19/2026","0.5533","Yes","CCF"
"9100 192 6198 1","1707110","05/20/2026","0.5533","Yes","CCF"
"9100 192 6198 1","1707110","05/21/2026","0.5533","Yes","CCF"
"9100 192 6198 1","1707110","05/22/2026","0.9400","No","CCF"
"9100 192 6198 1","1707110","05/23/2026","0.7800","Yes","CCF"
"9100 192 6198 1","1707110","05/24/2026","0.7800","Yes","CCF"
"9100 192 6198 1","1707110","05/25/2026","0.7800","Yes","CCF"
"9100 192 6198 1","1707110","05/26/2026","0.2800","No","CCF"
"9100 192 6198 1","1707110","05/27/2026","0.4600","Yes","CCF"
"9100 192 6198 1","1707110","05/28/2026","0.4600","Yes","CCF"
"9100 192 6198 1","1707110","05/29/2026","0.4400","No","CCF"
"9100 192 6198 1","1707110","05/30/2026","0.3733","Yes","CCF"
"9100 192 6198 1","1707110","05/31/2026","0.3733","Yes","CCF"
"9100 192 6198 1","1707110","06/01/2026","0.3733","Yes","CCF"
"9100 192 6198 1","1707110","06/02/2026","0.4600","No","CCF"
"9100 192 6198 1","1707110","06/03/2026","0.4400","No","CCF"
"9100 192 6198 1","1707110","06/04/2026","0.2000","Yes","CCF"
"9100 192 6198 1","1707110","06/05/2026","0.2000","Yes","CCF"
"9100 192 6198 1","1707110","06/06/2026","1.0000","No","CCF"
"9100 192 6198 1","1707110","06/07/2026","0.2200","Yes","CCF"
"9100 192 6198 1","1707110","06/08/2026","0.2200","Yes","CCF"
"9100 192 6198 1","1707110","06/09/2026","0.1200","No","CCF"
"9100 192 6198 1","1707110","06/10/2026","0.3400","Yes","CCF"
"9100 192 6198 1","1707110","06/11/2026","0.3400","Yes","CCF"
"9100 192 6198 1","1707110","06/12/2026","0.3400","Yes","CCF"
"9100 192 6198 1","1707110","06/13/2026","0.3600","No","CCF"
"9100 192 6198 1","1707110","06/14/2026","0.5360","Yes","CCF"
"9100 192 6198 1","1707110","06/15/2026","0.5360","Yes","CCF"
"9100 192 6198 1","1707110","06/16/2026","0.5360","Yes","CCF"
"9100 192 6198 1","1707110","06/17/2026","0.5360","Yes","CCF"
"9100 192 6198 1","1707110","06/18/2026","0.5360","Yes","CCF"
"9100 192 6198 1","1707110","06/19/2026","0.5200","No","CCF"
"9100 192 6198 1","1707110","06/20/2026","0.6000","No","CCF"
"9100 192 6198 1","1707110","06/21/2026","0.3533","Yes","CCF"
"9100 192 6198 1","1707110","06/22/2026","0.3533","Yes","CCF"
"9100 192 6198 1","1707110","06/23/2026","0.3533","Yes","CCF"
"9100 192 6198 1","1707110","06/24/2026","0.4300","Yes","CCF"
"9100 192 6198 1","1707110","06/25/2026","0.4300","Yes","CCF"
"9100 192 6198 1","1707110","06/26/2026","0.4600","No","CCF"
"9100 192 6198 1","1707110","06/27/2026","0.4200","No","CCF"
"9100 192 6198 1","1707110","06/28/2026","0.3400","No","CCF"
"9100 192 6198 1","1707110","06/29/2026","0.2750","Yes","CCF"
"9100 192 6198 1","1707110","06/30/2026","0.2750","Yes","CCF"
"9100 192 6198 1","1707110","07/01/2026","0.2750","Yes","CCF"
"9100 192 6198 1","1707110","07/02/2026","0.2750","Yes","CCF"
"9100 192 6198 1","1707110","07/03/2026","0.3950","Yes","CCF"
"9100 192 6198 1","1707110","07/04/2026","0.3950","Yes","CCF"
"9100 192 6198 1","1707110","07/05/2026","0.3950","Yes","CCF"
"9100 192 6198 1","1707110","07/06/2026","0.3950","Yes","CCF"
"9100 192 6198 1","1707110","07/07/2026","0.3400","No","CCF"
"9100 192 6198 1","1707110","07/08/2026","0.3800","No","CCF"
"9100 192 6198 1","1707110","07/09/2026","0.2700","Yes","CCF"
"9100 192 6198 1","1707110","07/10/2026","0.2700","Yes","CCF"
"9100 192 6198 1","1707110","07/11/2026","0.5600","No","CCF"
"9100 192 6198 1","1707110","07/12/2026","0.1800","Yes","CCF"
"9100 192 6198 1","1707110","07/13/2026","0.1800","Yes","CCF"
"9100 192 6198 1","1707110","07/14/2026","0.1800","Yes","CCF"
"9100 192 6198 1","1707110","07/15/2026","0.3400","No","CCF"
"9100 192 6198 1","1707110","07/16/2026","0.2600","No","CCF"
"9100 192 6198 1","1707110","07/17/2026","0.3400","No","CCF"
"9100 192 6198 1","1707110","07/18/2026","0.3800","Yes","CCF"
"9100 192 6198 1","1707110","07/19/2026","0.3800","Yes","CCF"
"9100 192 6198 1","1707110","07/20/2026","0.4000","No","CCF"
"9100 192 6198 1","1707110","07/21/2026","0.2600","No","CCF"
"9100 192 6198 1","1707110","07/22/2026","0.4350","Yes","CCF"
"9100 192 6198 1","1707110","07/23/2026","0.4350","Yes","CCF"
"9100 192 6198 1","1707110","07/24/2026","0.4350","Yes","CCF"
"9100 192 6198 1","1707110","07/25/2026","0.4350","Yes","CCF"
"9100 192 6198 1","1707110","07/26/2026","0.3800","No","CCF"
"9100 192 6198 1","1707110","07/27/2026","0.3400","No","CCF"
"9100 192 6198 1","1707110","07/28/2026","0.3800","Yes","CCF"
"9100 192 6198 1","1707110","07/29/2026","0.3800","Yes","CCF"
"9100 192 6198 1","1707110","07/30/2026","0.3800","Yes","CCF"
"9100 192 6198 1","1707110","07/31/2026","0.3800","Yes","CCF"
"9100 192 6198 1","1707110","08/01/2026","0.5133","Yes","CCF"
"9100 192 6198 1","1707110","08/02/2026","0.5133","Yes","CCF"
"9100 192 6198 1","1707110","08/03/2026","0.5133","Yes","CCF"
"9100 192 6198 1","1707110","08/04/2026","0.4800","No","CCF"
"9100 192 6198 1","1707110","08/05/2026","0.4133","Yes","CCF"
"9100 192 6198 1","1707110","08/06/2026","0.4133","Yes","CCF"
"9100 192 6198 1","1707110","08/07/2026","0.4133","Yes","CCF"
"9100 192 6198 1","1707110","08/08/2026","0.4800","No","CCF"
