"Account Number","Meter Number","Day","Daily Total","Estimated Read","Unit of Measurement"
"9100 192 6198 1","1707110","10/12/2022","1.0200","No","CCF"
"9100 192 6198 1","1707110","10/13/2022","1.0400","No","CCF"
"9100 192 6198 1","1707110","10/14/2022","1.9600","Yes","CCF"
"9100 192 6198 1","1707110","10/15/2022","1.9600","Yes","CCF"
"9100 192 6198 1","1707110","10/16/2022","1.8800","No","CCF"
"9100 192 6198 1","1707110","10/17/2022","2.3200","No","CCF"
"9100 192 6198 1","1707110","10/18/2022","2.7400","No","CCF"
"9100 192 6198 1","1707110","10/19/2022","2.5900","Yes","CCF"
"9100 192 6198 1","1707110","10/20/2022","2.5900","Yes","CCF"
"9100 192 6198 1","1707110","10/21/2022","1.3350","Yes","CCF"
"9100 192 6198 1","1707110","10/22/2022","1.3350","Yes","CCF"
"9100 192 6198 1","1707110","10/23/2022","1.3350","Yes","CCF"
"9100 192 6198 1","1707110","10/24/2022","1.3350","Yes","CCF"
"9100 192 6198 1","1707110","10/25/2022","0.5600","No","CCF"
"9100 192 6198 1","1707110","10/26/2022","1.2800","Yes","CCF"
"9100 192 6198 1","1707110","10/27/2022","1.2800","Yes","CCF"
"9100 192 6198 1","1707110","10/28/2022","1.2200","No","CCF"
"9100 192 6198 1","1707110","10/29/2022","1.0900","Yes","CCF"
"9100 192 6198 1","1707110","10/30/2022","1.0900","Yes","CCF"
"9100 192 6198 1","1707110","10/31/2022","1.4800","No","CCF"
"9100 192 6198 1","1707110","11/01/2022","1.0600","No","CCF"
"9100 192 6198 1","1707110","11/02/2022","1.1200","No","CCF"
"9100 192 6198 1","1707110","11/03/2022","1.2400","No","CCF"
"9100 192 6198 1","1707110","11/04/2022","1.2400","No","CCF"
"9100 192 6198 1","1707110","11/05/2022","0.7300","Yes","CCF"
"9100 192 6198 1","1707110","11/06/2022","0.7300","Yes","CCF"
"9100 192 6198 1","1707110","11/07/2022","1.2200","No","CCF"
"9100 192 6198 1","1707110","11/08/2022","1.8400","No","CCF"
"9100 192 6198 1","1707110","11/09/2022","1.5400","No","CCF"
"9100 192 6198 1","1707110","11/10/2022","1.1000","No","CCF"
"9100 192 6198 1","1707110","11/11/2022","2.6200","Yes","CCF"
"9100 192 6198 1","1707110","11/12/2022","2.6200","Yes","CCF"
"9100 192 6198 1","1707110","11/13/2022","2.6200","Yes","CCF"
"9100 192 6198 1","1707110","11/14/2022","2.6200","Yes","CCF"
"9100 192 6198 1","1707110","11/15/2022","3.2600","Yes","CCF"
"9100 192 6198 1","1707110","11/16/2022","3.2600","Yes","CCF"
"9100 192 6198 1","1707110","11/17/2022","3.9733","Yes","CCF"
"9100 192 6198 1","1707110","11/18/2022","3.9733","Yes","CCF"
"9100 192 6198 1","1707110","11/19/2022","3.9733","Yes","CCF"
"9100 192 6198 1","1707110","11/20/2022","4.6400","No","CCF"
"9100 192 6198 1","1707110","11/21/2022","3.5400","No","CCF"
"9100 192 6198 1","1707110","11/22/2022","2.8800","No","CCF"
"9100 192 6198 1","1707110","11/23/2022","2.8400","No","CCF"
"9100 192 6198 1","1707110","11/24/2022","2.0400","Yes","CCF"
"9100 192 6198 1","1707110","11/25/2022","2.0400","Yes","CCF"
"9100 192 6198 1","1707110","11/26/2022","2.7200","Yes","CCF"
"9100 192 6198 1","1707110","11/27/2022","2.7200","Yes","CCF"
"9100 192 6198 1","1707110","11/28/2022","2.7200","Yes","CCF"
"9100 192 6198 1","1707110","11/29/2022","2.2600","No","CCF"
"9100 192 6198 1","1707110","11/30/2022","3.2800","No","CCF"
"9100 192 6198 1","1707110","12/01/2022","3.1600","No","CCF"
"9100 192 6198 1","1707110","12/02/2022","2.9600","Yes","CCF"
"9100 192 6198 1","1707110","12/03/2022","2.9600","Yes","CCF"
"9100 192 6198 1","1707110","12/04/2022","3.5100","Yes","CCF"
"9100 192 6198 1","1707110","12/05/2022","3.5100","Yes","CCF"
"9100 192 6198 1","1707110","12/06/2022","2.6600","No","CCF"
"9100 192 6198 1","1707110","12/07/2022","2.6100","Yes","CCF"
"9100 192 6198 1","1707110","12/08/2022","2.6100","Yes","CCF"
"9100 192 6198 1","1707110","12/09/2022","3.6400","No","CCF"
"9100 192 6198 1","1707110","12/10/2022","3.2133","Yes","CCF"
"9100 192 6198 1","1707110","12/11/2022","3.2133","Yes","CCF"
"9100 192 6198 1","1707110","12/12/2022","3.2133","Yes","CCF"
"9100 192 6198 1","1707110","12/13/2022","3.2133","Yes","CCF"
"9100 192 6198 1","1707110","12/14/2022","3.2133","Yes","CCF"
"9100 192 6198 1","1707110","12/15/2022","3.2133","Yes","CCF"
"9100 192 6198 1","1707110","12/16/2022","3.5000","No","CCF"
"9100 192 6198 1","1707110","12/17/2022","3.9760","Yes","CCF"
"9100 192 6198 1","1707110","12/18/2022","3.9760","Yes","CCF"
"9100 192 6198 1","1707110","12/19/2022","3.9760","Yes","CCF"
"9100 192 6198 1","1707110","12/20/2022","3.9760","Yes","CCF"
"9100 192 6198 1","1707110","12/21/2022","3.9760","Yes","CCF"
"9100 192 6198 1","1707110","12/22/2022","4.5600","Yes","CCF"
"9100 192 6198 1","1707110","12/23/2022","4.5600","Yes","CCF"
"9100 192 6198 1","1707110","12/24/2022","5.1650","Yes","CCF"
"9100 192 6198 1","1707110","12/25/2022","5.1650","Yes","CCF"
"9100 192 6198 1","1707110","12/26/2022","5.1650","Yes","CCF"
"9100 192 6198 1","1707110","12/27/2022","5.1650","Yes","CCF"
"9100 192 6198 1","1707110","12/28/2022","2.8267","Yes","CCF"
"9100 192 6198 1","1707110","12/29/2022","2.8267","Yes","CCF"
"9100 192 6198 1","1707110","12/30/2022","2.8267","Yes","CCF"
"9100 192 6198 1","1707110","12/31/2022","2.6400","No","CCF"
"9100 192 6198 1","1707110","01/01/2023","3.1600","No","CCF"
"9100 192 6198 1","1707110","01/02/2023","2.7600","Yes","CCF"
"9100 192 6198 1","1707110","01/03/2023","2.7600","Yes","CCF"
"9100 192 6198 1","1707110","01/04/2023","1.9600","No","CCF"
"9100 192 6198 1","1707110","01/05/2023","3.0200","No","CCF"
"9100 192 6198 1","1707110","01/06/2023","3.4500","Yes","CCF"
"9100 192 6198 1","1707110","01/07/2023","3.4500","Yes","CCF"
"9100 192 6198 1","1707110","01/08/2023","3.8800","No","CCF"
"9100 192 6198 1","1707110","01/09/2023","2.9800","No","CCF"
"9100 192 6198 1","1707110","01/10/2023","3.7600","No","CCF"
"9100 192 6198 1","1707110","01/11/2023","3.3600","No","CCF"
"9100 192 6198 1","1707110","01/12/2023","2.9000","No","CCF"
"9100 192 6198 1","1707110","01/13/2023","3.9400","No","CCF"
"9100 192 6198 1","1707110","01/14/2023","3.7400","No","CCF"
"9100 192 6198 1","1707110","01/15/2023","4.0100","Yes","CCF"
"9100 192 6198 1","1707110","01/16/2023","4.0100","Yes","CCF"
"9100 192 6198 1","1707110","01/17/2023","2.9400","Yes","CCF"
"9100 192 6198 1","1707110","01/18/2023","2.9400","Yes","CCF"
"9100 192 6198 1","1707110","01/19/2023","3.1200","No","CCF"
"9100 192 6198 1","1707110","01/20/2023","3.1400","No","CCF"
"9100 192 6198 1","1707110","01/21/2023","3.6500","Yes","CCF"
"9100 192 6198 1","1707110","01/22/2023","3.6500","Yes","CCF"
"9100 192 6198 1","1707110","01/23/2023","4.0200","No","CCF"
"9100 192 6198 1","1707110","01/24/2023","3.3500","Yes","CCF"
"9100 192 6198 1","1707110","01/25/2023","3.3500","Yes","CCF"
"9100 192 6198 1","1707110","01/26/2023","3.6600","No","CCF"
"9100 192 6198 1","1707110","01/27/2023","3.9600","No","CCF"
"9100 192 6198 1","1707110","01/28/2023","3.7200","No","CCF"
"9100 192 6198 1","1707110","01/29/2023","4.1533","Yes","CCF"
"9100 192 6198 1","1707110","01/30/2023","4.1533","Yes","CCF"
"9100 192 6198 1","1707110","01/31/2023","4.1533","Yes","CCF"
"9100 192 6198 1","1707110","02/01/2023","4.3600","No","CCF"
"9100 192 6198 1","1707110","02/02/2023","3.8400","No","CCF"
"9100 192 6198 1","1707110","02/03/2023","4.8800","No","CCF"
"9100 192 6198 1","1707110","02/04/2023","4.5800","No","CCF"
"9100 192 6198 1","1707110","02/05/2023","3.4200","No","CCF"
"9100 192 6198 1","1707110","02/06/2023","2.9657","Yes","CCF"
"9100 192 6198 1","1707110","02/07/2023","2.9657","Yes","CCF"
"9100 192 6198 1","1707110","02/08/2023","2.9657","Yes","CCF"
"9100 192 6198 1","1707110","02/09/2023","2.9657","Yes","CCF"
"9100 192 6198 1","1707110","02/10/2023","2.9657","Yes","CCF"
"9100 192 6198 1","1707110","02/11/2023","2.9657","Yes","CCF"
"9100 192 6198 1","1707110","02/12/2023","2.9657","Yes","CCF"
"9100 192 6198 1","1707110","02/13/2023","2.6000","Yes","CCF"
"9100 192 6198 1","1707110","02/14/2023","2.6000","Yes","CCF"
"9100 192 6198 1","1707110","02/15/2023","2.3600","Yes","CCF"
"9100 192 6198 1","1707110","02/16/2023","2.3600","Yes","CCF"
"9100 192 6198 1","1707110","02/17/2023","4.2800","No","CCF"
"9100 192 6198 1","1707110","02/18/2023","3.1400","No","CCF"
"9100 192 6198 1","1707110","02/19/2023","2.5400","No","CCF"
"9100 192 6198 1","1707110","02/20/2023","2.2800","No","CCF"
"9100 192 6198 1","1707110","02/21/2023","3.7200","No","CCF"
"9100 192 6198 1","1707110","02/22/2023","3.1767","Yes","CCF"
"9100 192 6198 1","1707110","02/23/2023","3.1767","Yes","CCF"
"9100 192 6198 1","1707110","02/24/2023","3.1767","Yes","CCF"
"9100 192 6198 1","1707110","02/25/2023","3.1767","Yes","CCF"
"9100 192 6198 1","1707110","02/26/2023","3.1767","Yes","CCF"
"9100 192 6198 1","1707110","02/27/2023","3.1767","Yes","CCF"
"9100 192 6198 1","1707110","02/28/2023","2.9400","No","CCF"
"9100 192 6198 1","1707110","03/01/2023","2.6500","Yes","CCF"
"9100 192 6198 1","1707110","03/02/2023","2.6500","Yes","CCF"
"9100 192 6198 1","1707110","03/03/2023","3.0400","Yes","CCF"
"9100 192 6198 1","1707110","03/04/2023","3.0400","Yes","CCF"
"9100 192 6198 1","1707110","03/05/2023","2.0600","No","CCF"
"9100 192 6198 1","1707110","03/06/2023","2.5800","Yes","CCF"
"9100 192 6198 1","1707110","03/07/2023","2.5800","Yes","CCF"
"9100 192 6198 1","1707110","03/08/2023","2.5800","Yes","CCF"
"9100 192 6198 1","1707110","03/09/2023","2.4200","No","CCF"
"9100 192 6198 1","1707110","03/10/2023","3.0400","Yes","CCF"
"9100 192 6198 1","1707110","03/11/2023","3.0400","Yes","CCF"
"9100 192 6198 1","1707110","03/12/2023","0.0800","No","CCF"
"9100 192 6198 1","1707110","03/13/2023","5.0100","Yes","CCF"
"9100 192 6198 1","1707110","03/14/2023","5.0100","Yes","CCF"
"9100 192 6198 1","1707110","03/15/2023","2.4600","Yes","CCF"
"9100 192 6198 1","1707110","03/16/2023","2.4600","Yes","CCF"
"9100 192 6198 1","1707110","03/17/2023","2.7400","No","CCF"
"9100 192 6198 1","1707110","03/18/2023","3.5400","Yes","CCF"
"9100 192 6198 1","1707110","03/19/2023","3.5400","Yes","CCF"
"9100 192 6198 1","1707110","03/20/2023","2.5000","No","CCF"
"9100 192 6198 1","1707110","03/21/2023","2.2933","Yes","CCF"
"9100 192 6198 1","1707110","03/22/2023","2.2933","Yes","CCF"
"9100 192 6198 1","1707110","03/23/2023","2.2933","Yes","CCF"
"9100 192 6198 1","1707110","03/24/2023","2.3200","No","CCF"
"9100 192 6198 1","1707110","03/25/2023","2.6400","Yes","CCF"
"9100 192 6198 1","1707110","03/26/2023","2.6400","Yes","CCF"
"9100 192 6198 1","1707110","03/27/2023","2.6200","No","CCF"
"9100 192 6198 1","1707110","03/28/2023","2.6800","Yes","CCF"
"9100 192 6198 1","1707110","03/29/2023","2.6800","Yes","CCF"
"9100 192 6198 1","1707110","03/30/2023","2.7600","Yes","CCF"
"9100 192 6198 1","1707110","03/31/2023","2.7600","Yes","CCF"
"9100 192 6198 1","1707110","04/01/2023","2.1550","Yes","CCF"
"9100 192 6198 1","1707110","04/02/2023","2.1550","Yes","CCF"
"9100 192 6198 1","1707110","04/03/2023","2.1550","Yes","CCF"
"9100 192 6198 1","1707110","04/04/2023","2.1550","Yes","CCF"
"9100 192 6198 1","1707110","04/05/2023","1.1400","No","CCF"
"9100 192 6198 1","1707110","04/06/2023","1.6000","No","CCF"
"9100 192 6198 1","1707110","04/07/2023","2.0800","No","CCF"
"9100 192 6198 1","1707110","04/08/2023","2.2800","No","CCF"
"9100 192 6198 1","1707110","04/09/2023","1.7400","No","CCF"
"9100 192 6198 1","1707110","04/10/2023","1.5600","Yes","CCF"
"9100 192 6198 1","1707110","04/11/2023","1.5600","Yes","CCF"
"9100 192 6198 1","1707110","04/12/2023","0.0000","No","CCF"
"9100 192 6198 1","1707110","04/13/2023","0.6400","Yes","CCF"
"9100 192 6198 1","1707110","04/14/2023","0.6400","Yes","CCF"
"9100 192 6198 1","1707110","04/15/2023","0.6200","Yes","CCF"
"9100 192 6198 1","1707110","04/16/2023","0.6200","Yes","CCF"
"9100 192 6198 1","1707110","04/17/2023","2.4533","Yes","CCF"
"9100 192 6198 1","1707110","04/18/2023","2.4533","Yes","CCF"
"9100 192 6198 1","1707110","04/19/2023","2.4533","Yes","CCF"
"9100 192 6198 1","1707110","04/20/2023","1.0667","Yes","CCF"
"9100 192 6198 1","1707110","04/21/2023","1.0667","Yes","CCF"
"9100 192 6198 1","1707110","04/22/2023","1.0667","Yes","CCF"
"9100 192 6198 1","1707110","04/23/2023","3.6700","Yes","CCF"
"9100 192 6198 1","1707110","04/24/2023","3.6700","Yes","CCF"
"9100 192 6198 1","1707110","04/25/2023","2.6300","Yes","CCF"
"9100 192 6198 1","1707110","04/26/2023","2.6300","Yes","CCF"
"9100 192 6198 1","1707110","04/27/2023","1.8500","Yes","CCF"
"9100 192 6198 1","1707110","04/28/2023","1.8500","Yes","CCF"
"9100 192 6198 1","1707110","04/29/2023","1.7800","Yes","CCF"
"9100 192 6198 1","1707110","04/30/2023","1.7800","Yes","CCF"
"9100 192 6198 1","1707110","05/01/2023","1.7800","Yes","CCF"
"9100 192 6198 1","1707110","05/02/2023","2.7400","No","CCF"
"9100 192 6198 1","1707110","05/03/2023","2.2600","No","CCF"
"9100 192 6198 1","1707110","05/04/2023","1.6800","No","CCF"
"9100 192 6198 1","1707110","05/05/2023","1.3400","No","CCF"
"9100 192 6198 1","1707110","05/06/2023","1.0200","No","CCF"
"9100 192 6198 1","1707110","05/07/2023","0.7100","Yes","CCF"
"9100 192 6198 1","1707110","05/08/2023","0.7100","Yes","CCF"
"9100 192 6198 1","1707110","05/09/2023","0.6800","No","CCF"
"9100 192 6198 1","1707110","05/10/2023","0.9600","No","CCF"
"9100 192 6198 1","1707110","05/11/2023","0.6200","Yes","CCF"
"9100 192 6198 1","1707110","05/12/2023","0.6200","Yes","CCF"
"9100 192 6198 1","1707110","05/13/2023","0.6200","Yes","CCF"
"9100 192 6198 1","1707110","05/14/2023","0.6200","Yes","CCF"
"9100 192 6198 1","1707110","05/15/2023","0.6200","Yes","CCF"
"9100 192 6198 1","1707110","05/16/2023","0.9000","No","CCF"
"9100 192 6198 1","1707110","05/17/2023","1.1600","No","CCF"
"9100 192 6198 1","1707110","05/18/2023","1.4200","No","CCF"
"9100 192 6198 1","1707110","05/19/2023","1.1267","Yes","CCF"
"9100 192 6198 1","1707110","05/20/2023","1.1267","Yes","CCF"
"9100 192 6198 1","1707110","05/21/2023","1.1267","Yes","CCF"
"9100 192 6198 1","1707110","05/22/2023","0.9400","Yes","CCF"
"9100 192 6198 1","1707110","05/23/2023","0.9400","Yes","CCF"
"9100 192 6198 1","1707110","05/24/2023","0.9400","Yes","CCF"
"9100 192 6198 1","1707110","05/25/2023","0.9400","Yes","CCF"
"9100 192 6198 1","1707110","05/26/2023","0.9400","Yes","CCF"
"9100 192 6198 1","1707110","05/27/2023","0.8500","Yes","CCF"
"9100 192 6198 1","1707110","05/28/2023","0.8500","Yes","CCF"
"9100 192 6198 1","1707110","05/29/2023","0.3600","No","CCF"
"9100 192 6198 1","1707110","05/30/2023","0.5800","No","CCF"
"9100 192 6198 1","1707110","05/31/2023","0.5000","No","CCF"
"9100 192 6198 1","1707110","06/01/2023","0.2600","No","CCF"
"9100 192 6198 1","1707110","06/02/2023","0.3250","Yes","CCF"
"9100 192 6198 1","1707110","06/03/2023","0.3250","Yes","CCF"
"9100 192 6198 1","1707110","06/04/2023","0.3250","Yes","CCF"
"9100 192 6198 1","1707110","06/05/2023","0.3250","Yes","CCF"
"9100 192 6198 1","1707110","06/06/2023","0.6000","No","CCF"
"9100 192 6198 1","1707110","06/07/2023","0.5600","No","CCF"
"9100 192 6198 1","1707110","06/08/2023","0.4667","Yes","CCF"
"9100 192 6198 1","1707110","06/09/2023","0.4667","Yes","CCF"
"9100 192 6198 1","1707110","06/10/2023","0.4667","Yes","CCF"
"9100 192 6198 1","1707110","06/11/2023","0.4200","No","CCF"
"9100 192 6198 1","1707110","06/12/2023","0.5200","No","CCF"
"9100 192 6198 1","1707110","06/13/2023","0.6600","No","CCF"
"9100 192 6198 1","1707110","06/14/2023","0.5800","No","CCF"
"9100 192 6198 1","1707110","06/15/2023","0.8400","No","CCF"
"9100 192 6198 1","1707110","06/16/2023","0.4600","Yes","CCF"
"9100 192 6198 1","1707110","06/17/2023","0.4600","Yes","CCF"
"9100 192 6198 1","1707110","06/18/2023","0.4600","Yes","CCF"
"9100 192 6198 1","1707110","06/19/2023","0.5000","Yes","CCF"
"9100 192 6198 1","1707110","06/20/2023","0.5000","Yes","CCF"
"9100 192 6198 1","1707110","06/21/2023","0.5000","Yes","CCF"
"9100 192 6198 1","1707110","06/22/2023","0.4200","No","CCF"
"9100 192 6198 1","1707110","06/23/2023","0.4800","No","CCF"
"9100 192 6198 1","1707110","06/24/2023","0.3400","No","CCF"
"9100 192 6198 1","1707110","06/25/2023","0.3800","Yes","CCF"
"9100 192 6198 1","1707110","06/26/2023","0.3800","Yes","CCF"
"9100 192 6198 1","1707110","06/27/2023","0.4300","Yes","CCF"
"9100 192 6198 1","1707110","06/28/2023","0.4300","Yes","CCF"
"9100 192 6198 1","1707110","06/29/2023","0.4000","Yes","CCF"
"9100 192 6198 1","1707110","06/30/2023","0.4000","Yes","CCF"
"9100 192 6198 1","1707110","07/01/2023","0.3000","No","CCF"
"9100 192 6198 1","1707110","07/02/2023","0.5000","No","CCF"
"9100 192 6198 1","1707110","07/03/2023","0.3200","No","CCF"
"9100 192 6198 1","1707110","07/04/2023","0.3160","Yes","CCF"
"9100 192 6198 1","1707110","07/05/2023","0.3160","Yes","CCF"
"9100 192 6198 1","1707110","07/06/2023","0.3160","Yes","CCF"
"9100 192 6198 1","1707110","07/07/2023","0.3160","Yes","CCF"
"9100 192 6198 1","1707110","07/08/2023","0.3160","Yes","CCF"
"9100 192 6198 1","1707110","07/09/2023","0.5000","No","CCF"
"9100 192 6198 1","1707110","07/10/2023","0.4667","Yes","CCF"
"9100 192 6198 1","1707110","07/11/2023","0.4667","Yes","CCF"
"9100 192 6198 1","1707110","07/12/2023","0.4667","Yes","CCF"
"9100 192 6198 1","1707110","07/13/2023","0.4400","No","CCF"
"9100 192 6198 1","1707110","07/14/2023","0.3600","No","CCF"
"9100 192 6198 1","1707110","07/15/2023","0.4800","No","CCF"
"9100 192 6198 1","1707110","07/16/2023","0.4100","Yes","CCF"
"9100 192 6198 1","1707110","07/17/2023","0.4100","Yes","CCF"
"9100 192 6198 1","1707110","07/18/2023","0.3800","No","CCF"
"9100 192 6198 1","1707110","07/19/2023","0.3900","Yes","CCF"
"9100 192 6198 1","1707110","07/20/2023","0.3900","Yes","CCF"
"9100 192 6198 1","1707110","07/21/2023","0.3550","Yes","CCF"
"9100 192 6198 1","1707110","07/22/2023","0.3550","Yes","CCF"
"9100 192 6198 1","1707110","07/23/2023","0.3550","Yes","CCF"
"9100 192 6198 1","1707110","07/24/2023","0.3550","Yes","CCF"
"9100 192 6198 1","1707110","07/25/2023","0.3120","Yes","CCF"
"9100 192 6198 1","1707110","07/26/2023","0.3120","Yes","CCF"
"9100 192 6198 1","1707110","07/27/2023","0.3120","Yes","CCF"
"9100 192 6198 1","1707110","07/28/2023","0.3120","Yes","CCF"
"9100 192 6198 1","1707110","07/29/2023","0.3120","Yes","CCF"
"9100 192 6198 1","1707110","07/30/2023","0.4600","No","CCF"
"9100 192 6198 1","1707110","07/31/2023","0.2600","No","CCF"
"9100 192 6198 1","1707110","08/01/2023","0.3800","No","CCF"
"9100 192 6198 1","1707110","08/02/2023","0.4533","Yes","CCF"
"9100 192 6198 1","1707110","08/03/2023","0.4533","Yes","CCF"
"9100 192 6198 1","1707110","08/04/2023","0.4533","Yes","CCF"
"9100 192 6198 1","1707110","08/05/2023","0.3300","Yes","CCF"
"9100 192 6198 1","1707110","08/06/2023","0.3300","Yes","CCF"
"9100 192 6198 1","1707110","08/07/2023","0.1200","No","CCF"
"9100 192 6198 1","1707110","08/08/2023","0.1200","Yes","CCF"
"9100 192 6198 1","1707110","08/09/2023","0.1200","Yes","CCF"
"9100 192 6198 1","1707110","08/10/2023","0.1400","Yes","CCF"
"9100 192 6198 1","1707110","08/11/2023","0.1400","Yes","CCF"
"9100 192 6198 1","1707110","08/12/2023","0.1400","Yes","CCF"
"9100 192 6198 1","1707110","08/13/2023","0.1400","Yes","CCF"
"9100 192 6198 1","1707110","08/14/2023","0.6400","No","CCF"
"9100 192 6198 1","1707110","08/15/2023","0.5800","Yes","CCF"
"9100 192 6198 1","1707110","08/16/2023","0.5800","Yes","CCF"
"9100 192 6198 1","1707110","08/17/2023","0.4000","No","CCF"
"9100 192 6198 1","1707110","08/18/2023","0.5000","No","CCF"
"9100 192 6198 1","1707110","08/19/2023","0.4360","Yes","CCF"
"9100 192 6198 1","1707110","08/20/2023","0.4360","Yes","CCF"
"9100 192 6198 1","1707110","08/21/2023","0.4360","Yes","CCF"
"9100 192 6198 1","1707110","08/22/2023","0.4360","Yes","CCF"
"9100 192 6198 1","1707110","08/23/2023","0.4360","Yes","CCF"
"9100 192 6198 1","1707110","08/24/2023","0.3200","No","CCF"
"9100 192 6198 1","1707110","08/25/2023","0.6400","No","CCF"
"9100 192 6198 1","1707110","08/26/2023","0.6200","No","CCF"
"9100 192 6198 1","1707110","08/27/2023","0.4700","Yes","CCF"
"9100 192 6198 1","1707110","08/28/2023","0.4700","Yes","CCF"
"9100 192 6198 1","1707110","08/29/2023","0.5000","No","CCF"
"9100 192 6198 1","1707110","08/30/2023","0.4000","No","CCF"
"9100 192 6198 1","1707110","08/31/2023","0.5600","No","CCF"
